"question_type","question_text","choice_1","choice_2","choice_3","choice_4","choice_5","correct_codes","numeric_answer","numeric_tolerance","unit","topic_code","explanation_short","explanation_standard","explanation_detailed","difficulty","importance","frequency_score","source_type","source_name","source_url","copyright_holder","permission_status","status"
"single","成人の血液循環で、全身から戻った静脈血が最初に入る心腔はどれか。","右心房","右心室","左心房","左心室","大動脈","1","","0.01","","MED-ANAT","全身静脈血は右心房へ戻ります。","上下大静脈から戻った静脈血は右心房に入り、右心室、肺動脈、肺、左心房、左心室へ進みます。","判断手順: 全身から戻る血液は右心系、肺から戻る血液は左心房です。循環経路は人工心肺、補助循環、心不全理解の基礎です。","1","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","左心室から拍出された血液が最初に通る大血管はどれか。","肺動脈","肺静脈","大動脈","上大静脈","門脈","3","","0.01","","MED-ANAT","左心室からは大動脈へ拍出されます。","左心室は酸素化された血液を大動脈へ送り出し、全身循環を担います。肺動脈は右心室から出る血管です。","判断手順: 左心室は全身へ、右心室は肺へ送ると整理します。心拍出量や血圧の理解にも直結します。","1","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"truefalse","動脈血は常に酸素を多く含む血液であり、肺動脈も酸素を多く含む。","正しい","誤り","","","","2","","0.01","","MED-ANAT","肺動脈は静脈血を肺へ運びます。","動脈は心臓から出る血管、静脈は心臓へ戻る血管を意味します。肺動脈は右心室から肺へ向かうため動脈ですが、酸素の少ない静脈血を運びます。","注意点: 動脈=酸素が多い、と機械的に覚えると肺循環で間違えます。血管名は流れる向きで判断します。","2","4","2.5","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","呼吸中枢が主に存在する部位はどれか。","延髄","小脳","大脳皮質視覚野","脊髄前角","視床下部のみ","1","","0.01","","MED-ANAT","呼吸中枢は主に延髄にあります。","呼吸運動の基本的な調節は延髄を中心に行われ、橋も呼吸リズム調節に関与します。","判断手順: 呼吸中枢、循環中枢、生命維持という語では延髄を想起します。人工呼吸管理や意識障害の理解にも関係します。","2","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","横隔膜を支配する主な神経はどれか。","横隔神経","迷走神経","橈骨神経","坐骨神経","顔面神経","1","","0.01","","MED-ANAT","横隔膜は横隔神経に支配されます。","横隔神経は主にC3からC5由来で、横隔膜運動を支配します。横隔膜は吸気に重要な筋です。","判断手順: 横隔膜なら横隔神経、呼吸運動なら横隔膜と肋間筋を確認します。頸髄損傷と呼吸不全の関連にもつながります。","2","4","2.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","腎臓で糸球体濾過量の指標として臨床でよく用いられるものはどれか。","eGFR","SpO2","ACT","FiO2","PEEP","1","","0.01","","MED-ANAT","腎機能評価ではeGFRがよく用いられます。","eGFRは推算糸球体濾過量で、腎機能の評価に用いられます。透析導入や薬剤調整の判断にも関わります。","判断手順: 腎機能、糸球体濾過量ならGFR/eGFRです。SpO2は酸素飽和度、ACTは抗凝固管理です。","2","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","血糖を上昇させる方向に働くホルモンはどれか。","インスリン","グルカゴン","カルシトニン","メラトニン","オキシトシン","2","","0.01","","MED-BIO","グルカゴンは血糖を上昇させます。","グルカゴンは肝臓でのグリコーゲン分解などを促進し、血糖を上げます。インスリンは血糖を下げる方向に働きます。","判断手順: 血糖低下はインスリン、血糖上昇はグルカゴン・アドレナリン・コルチゾールなどです。糖尿病や低血糖対応の基礎です。","2","4","2.5","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"truefalse","赤血球の主な役割は酸素運搬である。","正しい","誤り","","","","1","","0.01","","MED-ANAT","赤血球はヘモグロビンにより酸素を運搬します。","赤血球にはヘモグロビンが含まれ、肺で酸素と結合して全身組織へ運搬します。貧血では酸素運搬能が低下します。","判断手順: 赤血球=酸素運搬、白血球=免疫、血小板=止血と整理します。人工肺やSpO2の理解にも関係します。","1","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","血小板の主な役割はどれか。","止血","酸素運搬","尿生成","胆汁産生","神経伝導","1","","0.01","","MED-ANAT","血小板は止血に関与します。","血小板は血管損傷部位に集まり、一次止血に重要な役割を果たします。凝固因子とともに止血機構を形成します。","判断手順: 出血、止血、凝固と問われたら血小板と凝固因子を考えます。体外循環や抗凝固管理でも重要です。","1","4","2.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","炎症の四徴候に含まれないものはどれか。","発赤","熱感","腫脹","疼痛","徐脈","5","","0.01","","CLIN-PATH","徐脈は炎症の四徴候ではありません。","炎症の代表的徴候は発赤、熱感、腫脹、疼痛です。機能障害を加えて五徴候とする場合もあります。","判断手順: 炎症徴候は局所の赤い、熱い、腫れる、痛いを基本にします。感染や創傷評価の基礎です。","2","4","2.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
