"question_type","question_text","choice_1","choice_2","choice_3","choice_4","choice_5","correct_codes","numeric_answer","numeric_tolerance","unit","topic_code","explanation_short","explanation_standard","explanation_detailed","difficulty","importance","frequency_score","source_type","source_name","source_url","copyright_holder","permission_status","status"
"single","細胞膜の静止膜電位の形成に最も関与するイオンはどれか。","ナトリウムイオン","カリウムイオン","カルシウムイオン","塩化物イオン","水素イオン","2","","0.01","","MED-ANAT","静止膜電位にはカリウムイオンの透過性が大きく関与します。","静止状態の細胞膜では、カリウムイオンに対する透過性が比較的大きく、細胞内外の濃度差によって膜電位が形成されます。ナトリウムイオンも活動電位では重要ですが、静止膜電位の基本理解ではカリウムイオンが中心です。","背景知識: 神経や筋の興奮性を理解するには、細胞膜をはさんだイオン分布と選択的透過性を押さえます。判断手順: 静止時か活動時かを確認し、静止時ならカリウム、脱分極ならナトリウムを優先して考えます。臨床工学では心電図、ペーシング、除細動の理解にもつながります。","3","4","2.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","肺のガス交換で酸素が血液へ移動する直接の駆動力はどれか。","浸透圧差","温度差","分圧差","pH差","心拍数差","3","","0.01","","MED-ANAT","酸素移動の直接の駆動力は分圧差です。","肺胞内の酸素分圧は静脈血より高いため、酸素は肺胞から血液へ拡散します。二酸化炭素も同様に分圧差に従って血液から肺胞へ移動します。","背景知識: ガス交換は拡散であり、分子は高い分圧から低い分圧へ移動します。判断手順: 酸素、二酸化炭素、肺胞、血液という語が出たら分圧差を確認します。人工呼吸器や人工肺の理解でも、分圧差と拡散面積が重要です。","2","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"truefalse","心拍出量は、一回拍出量と心拍数の積で表される。","正しい","誤り","","","","1","","0.01","","MED-ANAT","心拍出量は一回拍出量×心拍数です。","心拍出量は1分間に心臓から拍出される血液量で、一回拍出量と心拍数を掛けて求めます。循環管理ではこの関係から、頻脈、徐脈、収縮力低下の影響を考えます。","背景知識: 心拍出量は循環動態の基本指標です。判断手順: 一回あたりの量と1分あたりの回数を掛けると1分間の量になります。補助循環や人工心肺の流量設定を理解する基礎にもなります。","2","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"numeric","体重60 kgの患者に6 mL/kgの一回換気量を設定する。目標一回換気量は何mLか。","","","","","","","360","1","mL","SUP-RESP","60×6より360 mLです。","一回換気量をmL/kgで設定する場合、体重に設定値を掛けます。60 kgに6 mL/kgを掛けると360 mLになります。","使用公式: 一回換気量 = 体重 × mL/kg。代入: 60 × 6 = 360。答え: 360 mL。注意点: 実臨床では実体重ではなく予測体重を使う場面がありますが、この問題では条件に示された体重で計算します。","3","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","人工呼吸器の換気モードで、設定した圧を目標に吸気を行う方式はどれか。","VCV","PCV","CPR","ECG","ACT","2","","0.01","","SUP-RESP","PCVは圧を目標に換気します。","PCVはPressure Controlled Ventilationの略で、設定した吸気圧を目標として換気します。VCVは設定した換気量を目標にする方式です。","背景知識: 人工呼吸器では量を目標にするか、圧を目標にするかでモードの特徴が変わります。判断手順: Pressureなら圧、Volumeなら量と対応させます。臨床では肺コンプライアンスや気道抵抗の変化で実際の換気量が変わる点にも注意します。","3","4","2.5","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","血液透析において、透析液中の電解質濃度を設定する主な目的として適切なのはどれか。","血液を凝固させるため","不要物を燃焼させるため","血液との濃度勾配を調整するため","赤血球を増やすため","ポンプを冷却するため","3","","0.01","","SUP-HD","透析液濃度は血液との濃度勾配を調整します。","血液透析では、血液と透析液の間の濃度勾配によって溶質が移動します。透析液の電解質濃度は、除去したい物質や補正したい電解質を安全に調整するために設定されます。","背景知識: 拡散は濃度差によって起こります。判断手順: 透析液の成分という語が出たら、血液との濃度差と患者の電解質補正を考えます。過度な濃度差は急激な変化につながるため、安全管理も重要です。","3","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"numeric","血流量200 mL/minで3時間透析を行った。回路を通過した血液量は何Lか。","","","","","","","36","0.1","L","SUP-HD","200 mL/min×180分＝36 Lです。","3時間は180分です。200 mL/minに180分を掛けると36,000 mLとなり、Lに直すと36 Lです。","使用公式: 通過量 = 流量 × 時間。単位変換: 3時間 = 180分、36,000 mL = 36 L。答え: 36 L。注意点: 実際の透析効率は再循環や膜性能にも影響されますが、この問題は流量と時間の基本計算です。","3","4","2.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"truefalse","限外濾過量を増やすと、一般に除水量は増加する。","正しい","誤り","","","","1","","0.01","","SUP-HD","限外濾過量の増加は除水量の増加につながります。","血液透析で水分を除去する操作は限外濾過であり、設定する限外濾過量を増やすと除水量は増加します。ただし患者状態に応じた安全な設定が必要です。","背景知識: 限外濾過は膜間圧力差を利用した水分移動です。判断手順: 水分除去、除水、限外濾過という語が出たら同じ概念として整理します。急速な除水は血圧低下の原因になるため、速度管理も重要です。","2","4","2.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","体外循環中、静脈血貯血槽の液面低下で最も注意すべきリスクはどれか。","空気混入","血糖低下","体温上昇のみ","尿量増加","心電図電極の脱落","1","","0.01","","SUP-ECC","液面低下では空気混入に注意します。","貯血槽の液面が低下すると、回路内へ空気が引き込まれるリスクがあります。体外循環では空気塞栓を防ぐため、液面監視とアラーム確認が重要です。","背景知識: 体外循環回路では気泡混入が重大な事故につながります。判断手順: 貯血槽、液面低下、吸い込みという語から空気混入を連想します。安全管理ではセンサ、クランプ、目視確認を組み合わせます。","3","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","人工肺で主に行われる処理はどれか。","酸素付加と二酸化炭素除去","尿素合成","血小板産生","神経伝導速度測定","胆汁産生","1","","0.01","","SUP-ECC","人工肺はガス交換を担います。","人工肺は肺の機能を代行し、血液へ酸素を付加し、二酸化炭素を除去します。体外循環やECMOで重要な構成要素です。","背景知識: 人工肺は膜を介してガス交換を行います。判断手順: 人工肺という語が出たら酸素付加と二酸化炭素除去を選びます。ガス流量、血流量、膜性能が交換効率に影響します。","2","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"numeric","人工心肺で体表面積1.6 m²、灌流指数2.4 L/min/m²とする。目標灌流量は何L/minか。","","","","","","","3.84","0.05","L/min","SUP-ECC","1.6×2.4＝3.84 L/minです。","灌流量は体表面積に灌流指数を掛けて求めます。1.6 m²に2.4 L/min/m²を掛けると3.84 L/minです。","使用公式: 灌流量 = 体表面積 × 灌流指数。代入: 1.6 × 2.4 = 3.84。答え: 3.84 L/min。注意点: 実際には患者状態、温度、酸素消費、術式により調整します。","4","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
