"question_type","question_text","choice_1","choice_2","choice_3","choice_4","choice_5","correct_codes","numeric_answer","numeric_tolerance","unit","topic_code","explanation_short","explanation_standard","explanation_detailed","difficulty","importance","frequency_score","source_type","source_name","source_url","copyright_holder","permission_status","status"
"single","血液が右心室から肺へ向かうときに通る血管はどれか。","大動脈","肺動脈","肺静脈","上大静脈","冠静脈洞","2","","0.01","","MED-ANAT","右心室から肺へ向かう血管は肺動脈です。","肺動脈は右心室から出て肺へ向かい、酸素の少ない血液を運びます。大動脈は左心室から全身へ向かう血管です。","判断手順: 右心室は肺へ、左心室は全身へ送ります。肺動脈は名称は動脈ですが静脈血を運ぶ点がよく問われます。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","肺で酸素化された血液が心臓へ戻るときに通る血管はどれか。","肺静脈","肺動脈","下大静脈","冠動脈","門脈","1","","0.01","","MED-ANAT","肺から左心房へ戻る血管は肺静脈です。","肺静脈は肺で酸素化された血液を左心房へ戻します。肺循環では肺静脈が酸素の多い血液を運びます。","判断手順: 肺から心臓へ戻る血管は肺静脈です。動脈と静脈は酸素量ではなく、心臓から出るか戻るかで判断します。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","心臓の弁で、左心房と左心室の間にあるものはどれか。","三尖弁","僧帽弁","肺動脈弁","大動脈弁","静脈弁","2","","0.01","","MED-ANAT","左房室弁は僧帽弁です。","僧帽弁は左心房と左心室の間にあり、血液の逆流を防ぎます。右心房と右心室の間は三尖弁です。","判断手順: 右房室弁は三尖弁、左房室弁は僧帽弁です。弁膜症や心雑音の理解に必要な基本です。","2","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"truefalse","大動脈弁は左心室と大動脈の間にある。","正しい","誤り","","","","1","","0.01","","MED-ANAT","大動脈弁は左心室出口にあります。","大動脈弁は左心室と大動脈の間にあり、拡張期に大動脈から左心室へ血液が逆流するのを防ぎます。","判断手順: 左心室から全身へ出る出口が大動脈弁、右心室から肺へ出る出口が肺動脈弁です。","1","4","2.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","冠動脈の主な役割はどれか。","心筋へ血液を供給する","尿を濃縮する","胆汁を作る","肺胞を広げる","血糖を下げる","1","","0.01","","MED-ANAT","冠動脈は心筋へ血液を供給します。","冠動脈は心臓自身の筋肉である心筋へ酸素と栄養を供給します。狭窄や閉塞は狭心症や心筋梗塞に関係します。","判断手順: 冠動脈は心臓を養う血管です。胸痛、心筋虚血、心筋梗塞の理解につながります。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","心電図で心室の脱分極を主に表す波形はどれか。","P波","QRS波","T波","U波","基線","2","","0.01","","MEAS-SPO2","心室脱分極はQRS波です。","P波は心房の脱分極、QRS波は心室の脱分極、T波は心室の再分極を表します。","判断手順: 心房はP、心室興奮はQRS、心室回復はTです。心電図モニタや除細動同期の理解にも必要です。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","心電図で心房の脱分極を主に表す波形はどれか。","P波","QRS波","T波","ST部分","U波","1","","0.01","","MEAS-SPO2","心房脱分極はP波です。","P波は心房が興奮する過程を表します。QRS波は心室脱分極、T波は心室再分極です。","判断手順: ECGの基本対応はP=心房、QRS=心室興奮、T=心室再分極です。まずこの3つを確実にします。","1","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","動脈血酸素飽和度を非侵襲的に推定する装置はどれか。","パルスオキシメータ","血糖測定器","心電計のみ","除細動器のみ","輸液ポンプ","1","","0.01","","MEAS-SPO2","SpO2はパルスオキシメータで推定します。","パルスオキシメータは赤色光と赤外光の吸光差を利用し、動脈血酸素飽和度を非侵襲的に推定します。","判断手順: SpO2、非侵襲、酸素飽和度ならパルスオキシメータです。低灌流や体動では誤差に注意します。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"truefalse","SpO2が正常範囲でも、患者の呼吸状態や意識状態の観察は必要である。","正しい","誤り","","","","1","","0.01","","MEAS-SPO2","SpO2だけで全身状態を判断してはいけません。","SpO2は有用な指標ですが、換気、循環、意識、皮膚色、呼吸努力などと合わせて評価します。CO2貯留はSpO2だけでは分かりにくい場合があります。","判断手順: モニタ値は患者観察とセットです。数値が正常でも、呼吸困難や意識障害があれば評価を続けます。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","血液中で二酸化炭素の多くが運ばれる形として最も適切なのはどれか。","重炭酸イオン","酸素分子のみ","窒素ガスのみ","ブドウ糖","カルシウム結晶","1","","0.01","","MED-ANAT","二酸化炭素の多くは重炭酸イオンとして運ばれます。","二酸化炭素は血液中で重炭酸イオン、ヘモグロビン結合、溶解の形で運ばれます。最も多いのは重炭酸イオンです。","判断手順: 酸素はヘモグロビン、二酸化炭素は重炭酸イオンが中心です。血液ガスと酸塩基平衡の理解につながります。","3","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
