"question_type","question_text","choice_1","choice_2","choice_3","choice_4","choice_5","correct_codes","numeric_answer","numeric_tolerance","unit","topic_code","explanation_short","explanation_standard","explanation_detailed","difficulty","importance","frequency_score","source_type","source_name","source_url","copyright_holder","permission_status","status"
"single","医療従事者が患者に検査や治療の内容を説明し、同意を得る考え方として最も適切なのはどれか。","インフォームド・コンセント","トリアージ","クリアランス","キャリブレーション","アラーム管理","1","","0.01","","MED-ANAT","説明と同意はインフォームド・コンセントです。","患者に必要な情報を説明し、理解と同意を得る考え方をインフォームド・コンセントといいます。医療安全と患者の自己決定を支える基本概念です。","背景知識: 臨床工学技士も医療チームの一員として、患者の権利と説明責任を理解する必要があります。判断手順: 説明、理解、同意、自己決定という語があればインフォームド・コンセントを選びます。","2","4","2.0","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
"truefalse","個人情報を含む患者データは、学習目的であれば本人が特定できる形のまま自由に外部共有してよい。","正しい","誤り","","","","2","","0.01","","MED-ANAT","本人が特定できる患者データの外部共有は慎重な管理が必要です。","患者データには個人情報が含まれるため、学習目的であっても本人が特定できる形で自由に共有してはいけません。匿名化、利用目的、管理手順を確認する必要があります。","背景知識: 医療情報は機微性が高く、守秘義務と個人情報保護が重要です。判断手順: 患者情報、外部共有、自由にという表現があれば安全側に判断します。CE108でも実データを扱う場合は匿名化が前提です。","2","5","3.0","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
"single","標準予防策で、血液や体液に触れる可能性があるときに最も基本となる対応はどれか。","必要な個人防護具を使用する","室温を必ず下げる","電源を必ず切る","酸素流量を最大にする","患者氏名を省略する","1","","0.01","","CLIN-PATH","血液・体液に触れる可能性がある場合は個人防護具を使用します。","標準予防策では、すべての患者の血液や体液を感染性があるものとして扱い、手指衛生や手袋、マスク、ガウンなどを状況に応じて使用します。","背景知識: 感染対策は医療機器操作の前提です。判断手順: 血液、体液、接触、飛散という条件があれば、手指衛生と個人防護具を優先します。機器の清拭や廃棄物処理も関連します。","2","5","3.0","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
"numeric","消毒薬を10倍希釈して1000 mL作る。原液は何mL必要か。","","","","","","","100","0.1","mL","MECH-MATH","10倍希釈で1000 mL作るには原液100 mLが必要です。","10倍希釈では完成量の10分の1が原液です。1000 mLを10で割ると100 mLになります。","使用公式: 原液量 = 完成量 / 希釈倍率。代入: 1000 / 10 = 100。答え: 100 mL。注意点: 残りの900 mLを希釈液として加える考え方です。","2","4","2.0","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
"single","血圧測定でカフ幅が腕に対して極端に狭い場合、測定値に起こりやすい影響はどれか。","高めに出やすい","低めに出やすい","必ず0になる","脈拍だけが測定される","酸素飽和度になる","1","","0.01","","MEAS-SPO2","カフ幅が狭すぎると血圧は高めに出やすくなります。","血圧測定では適切なカフサイズが必要です。腕に対してカフが狭すぎると、動脈圧迫に余分な圧が必要になり、測定値が高めに出やすくなります。","背景知識: 生体計測ではセンサや装着条件が測定値に影響します。判断手順: カフサイズの不適切さを問われたら、狭いカフは高め、広すぎるカフは低めに出やすいと整理します。","3","4","2.0","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
"single","交流電源で、商用電源の周波数として東日本で一般的に用いられる値はどれか。","25 Hz","50 Hz","75 Hz","100 Hz","200 Hz","2","","0.01","","EEE-SIG","東日本の商用電源周波数は一般に50 Hzです。","日本の商用電源周波数は地域により異なり、東日本では50 Hz、西日本では60 Hzが一般的です。医療機器の仕様確認にも関係します。","背景知識: 医用機器は電源条件に適合して使用する必要があります。判断手順: 東日本なら50 Hz、西日本なら60 Hzと覚えます。周波数依存の機器やノイズ対策でも重要です。","1","3","1.5","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
"numeric","電圧100 V、消費電力500 Wの機器に流れる電流は何Aか。","","","","","","","5","0.01","A","EEE-CIR","I＝P/Vより5 Aです。","電力Pは電圧Vと電流Iの積です。I=P/Vより、500 Wを100 Vで割ると5 Aになります。","使用公式: P = VI、I = P / V。代入: 500 / 100 = 5。答え: 5 A。注意点: 医療機器を複数使用する場合は、電源容量と合計電流を確認します。","2","4","2.0","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
"single","人工呼吸器回路で加温加湿が不足した場合に起こりやすい問題はどれか。","気道分泌物が乾燥しやすい","血糖が必ず低下する","心電図のR波が消える","透析液濃度が上がる","除細動エネルギーが増える","1","","0.01","","SUP-RESP","加温加湿不足では気道分泌物が乾燥しやすくなります。","人工呼吸管理では、吸入ガスの加温加湿が重要です。不足すると気道粘膜や分泌物が乾燥し、痰の貯留や気道閉塞のリスクにつながります。","背景知識: 通常の鼻腔や上気道は吸気を加温加湿します。人工気道ではこの機能が低下するため、人工的な加温加湿が必要です。判断手順: 人工呼吸、乾燥、分泌物なら加温加湿を考えます。","3","5","3.0","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
"single","血液浄化で、血液回路内の凝固を防ぐ目的で一般に用いられる薬剤はどれか。","ヘパリン","ブドウ糖","アドレナリン","生理食塩液のみ","酸素","1","","0.01","","SUP-HD","血液回路内凝固の予防にはヘパリンなどの抗凝固薬を用います。","血液が体外回路を通ると凝固しやすくなるため、血液浄化では患者状態に応じてヘパリンなどの抗凝固薬を使用します。","背景知識: 体外循環や血液浄化では抗凝固管理が重要です。判断手順: 回路内凝固、血液透析、抗凝固という語があればヘパリンを選びます。出血リスクがある場合は薬剤や条件を調整します。","2","5","3.0","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
"truefalse","除細動器の同期モードは、心電図のR波に同期して通電するために用いられる。","正しい","誤り","","","","1","","0.01","","THER-DEF","同期モードはR波に合わせて通電する目的で使われます。","同期カルディオバージョンでは、心電図のR波に同期して通電し、脆弱期への通電を避けることを目的とします。除細動と同期通電の違いを理解することが重要です。","背景知識: 電気的治療では非同期除細動と同期カルディオバージョンを区別します。判断手順: 同期、R波、通電という語があれば同期モードを選びます。緊急時には適応と設定確認が重要です。","3","5","3.0","original","CE108 original 39-theme batch 1","","CE108","internal_sample","draft"
